fg,3pt,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,id,team,home,date
36-88,8-32,19-25,9,37,46,24,11,4,10,24,99,400974437,Celtics,0,2017-10-17
38-83,5-22,21-25,9,41,50,19,3,4,17,25,102,400974437,Cavaliers,1,2017-10-17
38-76,7-21,25-30,6,39,45,19,6,4,15,22,108,400974703,Bucks,0,2017-10-18
39-91,11-28,11-21,11,32,43,23,12,2,12,27,100,400974703,Celtics,1,2017-10-18
35-84,10-29,22-32,14,41,55,16,4,5,19,24,102,400974772,Celtics,0,2017-10-20
35-92,10-32,12-16,14,33,47,20,7,4,16,30,92,400974772,76ers,1,2017-10-20
36-85,1-12,16-25,11,32,43,20,8,2,14,17,89,400974802,Knicks,0,2017-10-24
37-75,14-29,22-27,5,36,41,26,11,7,12,24,110,400974802,Celtics,1,2017-10-24
33-78,11-30,19-22,6,39,45,21,7,4,15,14,96,400974818,Celtics,0,2017-10-26
35-77,11-25,8-14,2,35,37,22,6,3,16,20,89,400974818,Bucks,1,2017-10-26
34-81,6-23,22-26,11,30,41,15,11,5,12,14,96,400974829,Celtics,0,2017-10-28
34-79,7-31,15-16,6,34,40,17,6,9,19,23,90,400974829,Heat,1,2017-10-28
36-87,12-26,10-20,12,28,40,24,8,4,11,14,94,400974843,Spurs,0,2017-10-30
42-88,11-31,13-16,15,39,54,24,10,6,13,22,108,400974843,Celtics,1,2017-10-30
35-81,6-20,10-12,7,19,26,24,10,5,15,18,86,400974860,Kings,0,2017-11-01
40-82,17-41,16-19,16,36,52,30,10,3,15,19,113,400974860,Celtics,1,2017-11-01
36-84,13-28,16-24,11,38,49,23,6,2,10,14,101,400974880,Celtics,0,2017-11-03
35-87,13-35,11-14,11,37,48,20,4,7,12,18,94,400974880,Thunder,1,2017-11-03
39-89,11-33,15-20,9,45,54,26,10,1,13,21,104,400974889,Celtics,0,2017-11-05
33-91,6-29,16-18,10,35,45,18,4,4,13,19,88,400974889,Magic,1,2017-11-05
39-81,14-36,18-22,7,35,42,28,3,3,13,21,110,400974897,Celtics,0,2017-11-06
39-81,13-26,16-20,5,31,36,24,8,4,14,22,107,400974897,Hawks,1,2017-11-06
37-85,5-24,17-23,12,36,48,16,8,8,20,30,96,400974912,Lakers,0,2017-11-08
38-98,7-29,24-31,16,32,48,20,8,6,13,20,107,400974912,Celtics,1,2017-11-08
31-80,6-22,19-33,7,40,47,20,5,7,14,21,87,400974921,Hornets,0,2017-11-10
30-84,9-31,21-25,9,40,49,15,6,5,13,26,90,400974921,Celtics,1,2017-11-10
32-69,10-24,20-23,6,30,36,18,8,8,17,20,94,400974939,Raptors,0,2017-11-12
35-87,10-26,15-19,15,31,46,24,9,2,14,18,95,400974939,Celtics,1,2017-11-12
39-86,9-27,22-27,9,40,49,15,8,3,14,14,109,400974952,Celtics,0,2017-11-14
39-88,14-35,10-16,9,34,43,26,4,3,14,24,102,400974952,Nets,1,2017-11-14
33-82,10-32,12-19,7,40,47,22,9,10,15,24,88,400974966,Warriors,0,2017-11-16
26-79,7-32,33-38,7,45,52,15,8,5,15,15,92,400974966,Celtics,1,2017-11-16
39-82,16-34,16-20,9,32,41,21,9,6,15,22,110,400974981,Celtics,0,2017-11-18
37-78,9-24,16-20,6,29,35,24,7,1,13,19,99,400974981,Hawks,1,2017-11-18
38-84,13-36,21-26,5,48,53,24,8,4,17,24,110,400975000,Celtics,0,2017-11-20
39-96,7-33,17-20,8,37,45,18,7,3,11,22,102,400975000,Mavericks,1,2017-11-20
35-84,9-26,19-27,7,30,37,19,11,4,11,19,98,400975008,Celtics,0,2017-11-22
40-81,10-28,14-16,7,41,48,20,3,4,16,22,104,400975008,Heat,1,2017-11-22
41-95,9-24,12-19,16,35,51,21,6,4,12,16,103,400975020,Magic,0,2017-11-24
42-91,17-42,17-25,13,33,46,27,6,10,8,20,118,400975020,Celtics,1,2017-11-24
45-80,10-25,8-9,4,26,30,22,8,4,14,13,108,400975032,Celtics,0,2017-11-25
38-78,7-23,15-15,10,26,36,20,9,2,18,14,98,400975032,Pacers,1,2017-11-25
44-85,11-25,19-23,8,32,40,26,8,2,8,19,118,400975043,Pistons,0,2017-11-27
40-77,16-33,12-21,5,31,36,27,2,4,17,23,108,400975043,Celtics,1,2017-11-27
35-84,16-32,11-18,15,30,45,24,11,1,19,22,97,400975065,76ers,0,2017-11-30
40-79,12-29,16-20,7,33,40,25,7,7,16,20,108,400975065,Celtics,1,2017-11-30
48-101,7-24,8-11,16,31,47,24,8,1,10,19,111,400975077,Suns,0,2017-12-02
42-80,14-31,18-23,4,27,31,32,8,6,9,16,116,400975077,Celtics,1,2017-12-02
35-78,9-21,21-24,3,25,28,17,6,2,9,17,100,400975094,Bucks,0,2017-12-04
43-78,10-22,15-19,8,37,45,25,5,3,14,20,111,400975094,Celtics,1,2017-12-04
34-86,9-28,13-17,6,39,45,19,7,5,9,12,90,400975107,Mavericks,0,2017-12-06
36-87,12-34,13-17,9,44,53,25,8,8,11,15,97,400975107,Celtics,1,2017-12-06
38-83,11-38,15-17,11,28,39,14,10,0,14,22,102,400975125,Celtics,0,2017-12-08
38-81,8-27,21-24,14,32,46,16,6,3,13,14,105,400975125,Spurs,1,2017-12-08
33-79,11-30,14-18,9,41,50,16,4,4,13,18,91,400975137,Celtics,0,2017-12-10
28-84,10-33,15-19,11,35,46,14,7,4,9,16,81,400975137,Pistons,1,2017-12-10
