fg,3pt,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,id,team,home,date
41-90,10-36,15-18,7,38,45,19,7,3,24,30,107,401070697,Hawks,0,2018-10-17
45-99,12-33,24-31,10,36,46,21,12,6,15,23,126,401070697,Knicks,1,2018-10-17
41-83,14-30,21-36,11,29,40,27,9,5,19,31,117,401070705,Hawks,0,2018-10-19
44-81,13-26,30-43,7,34,41,32,9,4,16,29,131,401070705,Grizzlies,1,2018-10-19
48-98,22-47,15-19,9,35,44,32,9,7,12,21,133,401070718,Hawks,0,2018-10-21
46-99,10-27,9-14,15,34,49,23,5,2,18,25,111,401070718,Cavaliers,1,2018-10-21
38-91,12-40,16-26,9,43,52,25,7,9,17,27,104,401070733,Mavericks,0,2018-10-24
37-91,15-38,22-31,10,44,54,28,6,6,15,26,111,401070733,Hawks,1,2018-10-24
36-83,12-33,13-16,8,44,52,25,14,6,20,21,97,401070757,Bulls,0,2018-10-27
27-84,12-40,19-23,11,37,48,20,9,8,22,13,85,401070757,Hawks,1,2018-10-27
35-94,8-37,14-21,10,37,47,20,10,3,13,18,92,401070769,Hawks,0,2018-10-29
41-99,14-47,17-18,16,48,64,33,7,9,19,22,113,401070769,76ers,1,2018-10-29
44-82,15-35,11-17,6,33,39,25,6,8,22,29,114,401070778,Hawks,0,2018-10-30
45-90,13-25,33-43,13,35,48,23,13,1,13,20,136,401070778,Cavaliers,1,2018-10-30
53-98,14-35,26-32,10,36,46,38,14,3,14,29,146,401070795,Kings,0,2018-11-01
42-87,8-31,23-34,10,33,43,26,6,6,22,28,115,401070795,Hawks,1,2018-11-01
41-85,16-40,20-26,13,28,41,27,6,6,17,20,118,401070809,Heat,0,2018-11-03
46-88,13-32,18-23,8,29,37,33,11,7,16,21,123,401070809,Hawks,1,2018-11-03
41-85,6-30,14-18,7,30,37,22,13,9,22,18,102,401070830,Hawks,0,2018-11-06
45-92,13-31,10-18,8,35,43,27,9,4,21,16,113,401070830,Hornets,1,2018-11-06
34-77,11-30,33-47,11,37,48,15,8,7,16,30,112,401070836,Knicks,0,2018-11-07
37-92,11-38,22-29,15,30,45,26,5,9,17,30,107,401070836,Hawks,1,2018-11-07
46-97,20-47,12-19,10,34,44,30,10,6,10,31,124,401070850,Pistons,0,2018-11-09
36-79,7-28,30-40,9,44,53,17,6,2,16,21,109,401070850,Hawks,1,2018-11-09
41-95,13-37,11-13,10,34,44,25,11,4,17,23,106,401070870,Hawks,0,2018-11-11
39-92,14-38,15-24,17,31,48,28,12,9,22,23,107,401070870,Lakers,1,2018-11-11
40-89,12-32,11-15,10,32,42,25,9,2,14,18,103,401070882,Hawks,0,2018-11-13
39-91,12-27,20-21,13,35,48,28,8,6,13,20,110,401070882,Warriors,1,2018-11-13
32-92,9-42,20-27,15,28,43,20,7,5,19,22,93,401070895,Hawks,0,2018-11-15
53-94,13-31,19-25,11,45,56,34,12,6,15,24,138,401070895,Nuggets,1,2018-11-15
31-87,8-29,19-27,5,36,41,20,15,6,18,24,89,401070907,Hawks,0,2018-11-17
35-87,12-30,15-21,10,43,53,25,11,6,22,26,97,401070907,Pacers,1,2018-11-17
40-93,10-33,37-47,15,37,52,24,9,8,15,22,127,401070924,Clippers,0,2018-11-19
45-101,12-38,17-19,16,35,51,29,6,6,14,38,119,401070924,Hawks,1,2018-11-19
48-90,11-29,17-23,14,41,55,33,6,1,17,21,124,401070935,Raptors,0,2018-11-21
42-93,10-36,14-18,9,25,34,24,10,7,9,21,108,401070935,Hawks,1,2018-11-21
42-91,13-40,17-21,7,36,43,31,11,7,16,29,114,401070949,Celtics,0,2018-11-23
35-81,6-35,20-29,5,35,40,22,9,7,20,26,96,401070949,Hawks,1,2018-11-23
41-92,18-45,23-28,10,32,42,30,8,4,10,15,123,401070969,Hornets,0,2018-11-25
50-94,16-39,8-11,9,32,41,34,5,9,15,23,124,401070969,Hawks,1,2018-11-25
38-80,12-31,27-32,10,36,46,22,13,7,24,24,115,401070983,Hawks,0,2018-11-27
40-87,13-38,20-30,11,32,43,22,20,3,20,25,113,401070983,Heat,1,2018-11-27
32-93,11-44,19-22,16,38,54,20,11,8,19,25,94,401070987,Hawks,0,2018-11-28
38-83,4-20,28-37,5,39,44,20,15,5,14,21,108,401070987,Hornets,1,2018-11-28
43-96,11-36,12-20,14,28,42,26,15,3,21,12,109,401071006,Hawks,0,2018-11-30
46-88,18-41,14-15,7,39,46,30,12,7,20,24,124,401071006,Thunder,1,2018-11-30
48-82,13-24,19-22,6,33,39,33,10,8,20,24,128,401071025,Warriors,0,2018-12-03
44-90,5-26,18-24,9,26,35,23,10,4,18,21,111,401071025,Hawks,1,2018-12-03
46-95,12-38,27-32,12,37,49,35,9,4,15,24,131,401071038,Wizards,0,2018-12-05
41-92,12-38,23-31,8,35,43,28,13,4,17,27,117,401071038,Hawks,1,2018-12-05
36-97,9-36,17-21,11,37,48,28,11,4,15,16,98,401071061,Nuggets,0,2018-12-08
40-93,15-42,11-16,9,42,51,33,9,11,18,23,106,401071061,Hawks,1,2018-12-08
43-93,11-33,10-14,16,28,44,21,7,2,21,30,107,401071093,Hawks,0,2018-12-12
35-75,12-34,32-43,4,32,36,22,13,5,14,16,114,401071093,Mavericks,1,2018-12-12
36-86,16-38,20-32,16,28,44,27,10,5,24,19,108,401071101,Hawks,0,2018-12-14
46-95,19-39,18-20,13,34,47,28,15,9,21,21,129,401071101,Celtics,1,2018-12-14
47-85,14-29,19-25,8,25,33,38,9,5,14,22,127,401071117,Hawks,0,2018-12-16
49-88,16-40,30-33,10,29,39,34,12,3,13,21,144,401071117,Nets,1,2018-12-16
36-83,13-40,25-36,9,28,37,26,14,1,15,32,110,401071133,Wizards,0,2018-12-18
37-79,12-32,32-39,13,36,49,23,4,5,23,29,118,401071133,Hawks,1,2018-12-18
43-91,10-29,18-24,15,39,54,29,4,1,16,18,114,401071153,Hawks,0,2018-12-21
41-84,8-27,17-24,4,31,35,20,8,3,12,22,107,401071153,Knicks,1,2018-12-21
36-91,6-23,20-25,15,39,54,24,9,9,16,25,98,401071167,Hawks,0,2018-12-23
34-83,10-29,17-27,5,36,41,21,6,9,16,25,95,401071167,Pistons,1,2018-12-23
46-83,13-27,24-33,10,29,39,35,13,3,16,17,129,401071180,Pacers,0,2018-12-26
45-89,17-36,14-18,11,30,41,33,8,6,19,24,121,401071180,Hawks,1,2018-12-26
47-100,16-35,13-20,17,41,58,32,10,6,23,33,123,401071198,Hawks,0,2018-12-28
44-98,11-32,21-38,16,31,47,28,14,9,14,26,120,401071198,Timberwolves,1,2018-12-28
40-85,5-23,23-29,10,34,44,27,9,2,12,23,108,401071206,Cavaliers,0,2018-12-29
43-98,10-37,15-25,17,36,53,27,7,4,13,25,111,401071206,Hawks,1,2018-12-29
41-95,13-32,13-19,21,32,53,24,8,5,17,23,108,401071218,Hawks,0,2018-12-31
42-84,11-24,21-29,8,31,39,29,13,6,11,18,116,401071218,Pacers,1,2018-12-31
40-95,10-31,8-13,13,37,50,26,5,6,14,19,98,401071232,Hawks,0,2019-01-02
43-92,11-29,17-23,10,38,48,29,10,2,10,20,114,401071232,Wizards,1,2019-01-02
37-85,14-41,24-35,5,26,31,26,11,3,21,23,112,401071248,Hawks,0,2019-01-04
55-100,14-40,20-28,12,42,54,36,11,8,14,26,144,401071248,Bucks,1,2019-01-04
31-87,5-34,15-27,12,29,41,23,11,7,13,17,82,401071263,Heat,0,2019-01-06
43-91,10-24,10-13,14,45,59,25,7,2,17,22,106,401071263,Hawks,1,2019-01-06
40-87,10-27,11-16,13,37,50,22,12,2,26,22,101,401071278,Hawks,0,2019-01-08
37-80,10-32,20-27,6,33,39,26,18,7,18,20,104,401071278,Raptors,1,2019-01-08
36-99,6-35,22-25,18,34,52,17,8,6,19,24,100,401071285,Hawks,0,2019-01-09
43-95,10-30,20-26,18,36,54,21,10,9,18,28,116,401071285,Nets,1,2019-01-09
40-82,5-27,15-22,5,34,39,28,9,5,17,23,100,401070694,Nets,0,2018-10-17
39-92,6-24,19-22,14,32,46,21,5,5,14,20,103,401070694,Pistons,1,2018-10-17
39-97,9-28,18-20,12,24,36,14,10,1,3,19,105,401070704,Knicks,0,2018-10-19
37-75,12-30,21-24,12,43,55,22,2,6,22,23,107,401070704,Nets,1,2018-10-19
41-86,16-37,14-22,9,31,40,25,6,6,20,18,112,401070710,Nets,0,2018-10-20
51-92,16-24,14-22,10,30,40,21,12,5,10,18,132,401070710,Pacers,1,2018-10-20
38-87,14-34,12-15,8,36,44,23,8,1,14,16,102,401070734,Nets,0,2018-10-24
34-89,3-18,15-16,16,37,53,18,5,2,15,19,86,401070734,Cavaliers,1,2018-10-24
43-98,19-40,10-15,16,38,54,26,6,8,18,22,115,401070753,Nets,0,2018-10-26
44-98,9-23,20-26,15,31,46,23,11,11,11,20,117,401070753,Pelicans,1,2018-10-26
44-89,11-33,21-24,12,35,47,28,11,7,12,16,120,401070764,Warriors,0,2018-10-28
