team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Celtics,99,0.409,0.25,0.594,9,37,24,11,4,10,2017-10-17
Cavaliers,102,0.458,0.227,0.955,9,41,19,3,4,17,2017-10-17
Bucks,108,0.5,0.333,1.19,6,39,19,6,4,15,2017-10-18
Celtics,100,0.429,0.393,0.393,11,32,23,12,2,12,2017-10-18
Celtics,102,0.417,0.345,0.759,14,41,16,4,5,19,2017-10-20
76ers,92,0.38,0.312,0.375,14,33,20,7,4,16,2017-10-20
Knicks,89,0.424,0.083,1.333,11,32,20,8,2,14,2017-10-24
Celtics,110,0.493,0.483,0.759,5,36,26,11,7,12,2017-10-24
Celtics,96,0.423,0.367,0.633,6,39,21,7,4,15,2017-10-26
Bucks,89,0.455,0.44,0.32,2,35,22,6,3,16,2017-10-26
Celtics,96,0.42,0.261,0.957,11,30,15,11,5,12,2017-10-28
Heat,90,0.43,0.226,0.484,6,34,17,6,9,19,2017-10-28
Spurs,94,0.414,0.462,0.385,12,28,24,8,4,11,2017-10-30
Celtics,108,0.477,0.355,0.419,15,39,24,10,6,13,2017-10-30
Kings,86,0.432,0.3,0.5,7,19,24,10,5,15,2017-11-01
Celtics,113,0.488,0.415,0.39,16,36,30,10,3,15,2017-11-01
Celtics,101,0.429,0.464,0.571,11,38,23,6,2,10,2017-11-03
Thunder,94,0.402,0.371,0.314,11,37,20,4,7,12,2017-11-03
Celtics,104,0.438,0.333,0.455,9,45,26,10,1,13,2017-11-05
Magic,88,0.363,0.207,0.552,10,35,18,4,4,13,2017-11-05
Celtics,110,0.481,0.389,0.5,7,35,28,3,3,13,2017-11-06
Hawks,107,0.481,0.5,0.615,5,31,24,8,4,14,2017-11-06
Lakers,96,0.435,0.208,0.708,12,36,16,8,8,20,2017-11-08
Celtics,107,0.388,0.241,0.828,16,32,20,8,6,13,2017-11-08
Hornets,87,0.388,0.273,0.864,7,40,20,5,7,14,2017-11-10
Celtics,90,0.357,0.29,0.677,9,40,15,6,5,13,2017-11-10
Raptors,94,0.464,0.417,0.833,6,30,18,8,8,17,2017-11-12
Celtics,95,0.402,0.385,0.577,15,31,24,9,2,14,2017-11-12
Celtics,109,0.453,0.333,0.815,9,40,15,8,3,14,2017-11-14
Nets,102,0.443,0.4,0.286,9,34,26,4,3,14,2017-11-14
Warriors,88,0.402,0.312,0.375,7,40,22,9,10,15,2017-11-16
Celtics,92,0.329,0.219,1.031,7,45,15,8,5,15,2017-11-16
Celtics,110,0.476,0.471,0.471,9,32,21,9,6,15,2017-11-18
Hawks,99,0.474,0.375,0.667,6,29,24,7,1,13,2017-11-18
Celtics,110,0.452,0.361,0.583,5,48,24,8,4,17,2017-11-20
Mavericks,102,0.406,0.212,0.515,8,37,18,7,3,11,2017-11-20
Celtics,98,0.417,0.346,0.731,7,30,19,11,4,11,2017-11-22
Heat,104,0.494,0.357,0.5,7,41,20,3,4,16,2017-11-22
Magic,103,0.432,0.375,0.5,16,35,21,6,4,12,2017-11-24
Celtics,118,0.462,0.405,0.405,13,33,27,6,10,8,2017-11-24
Celtics,108,0.562,0.4,0.32,4,26,22,8,4,14,2017-11-25
Pacers,98,0.487,0.304,0.652,10,26,20,9,2,18,2017-11-25
Pistons,118,0.518,0.44,0.76,8,32,26,8,2,8,2017-11-27
Celtics,108,0.519,0.485,0.364,5,31,27,2,4,17,2017-11-27
76ers,97,0.417,0.5,0.344,15,30,24,11,1,19,2017-11-30
Celtics,108,0.506,0.414,0.552,7,33,25,7,7,16,2017-11-30
Suns,111,0.475,0.292,0.333,16,31,24,8,1,10,2017-12-02
Celtics,116,0.525,0.452,0.581,4,27,32,8,6,9,2017-12-02
Bucks,100,0.449,0.429,1.0,3,25,17,6,2,9,2017-12-04
Celtics,111,0.551,0.455,0.682,8,37,25,5,3,14,2017-12-04
Mavericks,90,0.395,0.321,0.464,6,39,19,7,5,9,2017-12-06
Celtics,97,0.414,0.353,0.382,9,44,25,8,8,11,2017-12-06
Celtics,102,0.458,0.289,0.395,11,28,14,10,0,14,2017-12-08
Spurs,105,0.469,0.296,0.778,14,32,16,6,3,13,2017-12-08
Celtics,91,0.418,0.367,0.467,9,41,16,4,4,13,2017-12-10
Pistons,81,0.333,0.303,0.455,11,35,14,7,4,9,2017-12-10
Celtics,85,0.398,0.25,0.225,11,35,22,2,2,15,2017-12-11
Bulls,108,0.481,0.414,0.621,10,36,23,9,3,8,2017-12-11
Nuggets,118,0.495,0.321,0.679,20,28,22,8,4,15,2017-12-13
Celtics,124,0.595,0.44,0.76,4,26,29,10,7,13,2017-12-13
Jazz,107,0.482,0.52,0.56,9,46,19,6,2,15,2017-12-15
Celtics,95,0.407,0.29,0.516,2,29,20,10,5,8,2017-12-15
Celtics,102,0.487,0.467,0.333,14,28,21,6,6,16,2017-12-16
Grizzlies,93,0.405,0.412,0.441,10,28,18,8,3,13,2017-12-16
Celtics,112,0.557,0.615,0.308,6,32,26,6,4,19,2017-12-18
Pacers,111,0.468,0.333,1.429,9,29,14,12,3,12,2017-12-18
Heat,90,0.44,0.357,0.5,6,40,23,6,3,12,2017-12-20
Celtics,89,0.375,0.406,0.5,5,39,18,5,5,10,2017-12-20
Celtics,93,0.384,0.342,0.368,9,26,17,11,1,10,2017-12-21
Knicks,102,0.456,0.571,1.571,11,38,13,8,3,17,2017-12-21
Bulls,92,0.395,0.368,0.895,12,39,24,4,2,15,2017-12-23
Celtics,117,0.478,0.375,0.531,8,38,29,9,5,5,2017-12-23
Wizards,111,0.462,0.231,0.731,14,33,26,6,4,8,2017-12-25
Celtics,103,0.481,0.483,0.379,8,37,20,2,4,16,2017-12-25
Celtics,102,0.474,0.441,0.382,6,37,20,4,7,15,2017-12-27
Hornets,91,0.368,0.304,0.87,19,33,15,7,3,11,2017-12-27
Rockets,98,0.375,0.326,0.558,7,36,16,9,3,16,2017-12-28
Celtics,99,0.451,0.276,0.586,10,34,18,9,8,17,2017-12-28
Nets,105,0.411,0.306,0.444,11,34,25,5,4,9,2017-12-31
Celtics,108,0.494,0.424,0.485,8,42,21,7,8,17,2017-12-31
Cavaliers,88,0.348,0.25,0.562,9,39,16,6,7,14,2018-01-03
Celtics,102,0.446,0.333,0.222,9,43,27,9,2,15,2018-01-03
Timberwolves,84,0.368,0.304,0.913,9,34,15,6,5,12,2018-01-05
Celtics,91,0.404,0.167,0.25,17,39,24,6,4,10,2018-01-05
Celtics,87,0.378,0.278,0.444,12,32,12,8,13,4,2018-01-06
Nets,85,0.33,0.194,0.613,12,43,11,2,11,16,2018-01-06
Celtics,114,0.483,0.371,0.429,11,35,24,11,2,18,2018-01-11
76ers,103,0.463,0.393,0.571,3,34,20,12,4,19,2018-01-11
Pelicans,116,0.45,0.259,0.704,13,42,28,11,6,15,2018-01-16
Celtics,113,0.396,0.38,0.28,12,41,27,7,3,18,2018-01-16
76ers,89,0.466,0.353,0.882,8,33,18,10,5,22,2018-01-18
Celtics,80,0.405,0.241,0.448,3,28,13,7,5,19,2018-01-18
Magic,103,0.467,0.286,0.524,13,31,20,7,9,10,2018-01-21
Celtics,95,0.435,0.296,0.481,11,33,22,6,9,15,2018-01-21
Celtics,107,0.467,0.341,0.182,7,35,22,3,5,11,2018-01-23
Lakers,108,0.44,0.269,0.808,14,37,18,6,2,10,2018-01-23
Celtics,113,0.419,0.35,0.525,10,37,25,10,3,13,2018-01-24
Clippers,102,0.443,0.238,1.286,10,30,26,6,5,19,2018-01-24
Celtics,105,0.435,0.5,0.607,11,34,17,6,2,14,2018-01-27
Warriors,109,0.452,0.37,0.852,10,33,19,9,9,11,2018-01-27
Celtics,111,0.473,0.472,0.222,10,30,28,4,6,9,2018-01-29
Nuggets,110,0.452,0.303,0.485,15,32,31,4,3,10,2018-01-29
Knicks,73,0.322,0.176,0.824,9,35,16,4,4,14,2018-01-31
Celtics,103,0.482,0.423,0.462,5,44,27,8,3,9,2018-01-31
Hawks,110,0.425,0.355,1.0,4,32,21,6,4,12,2018-02-02
Celtics,119,0.506,0.458,0.75,7,35,26,8,3,11,2018-02-02
Trail Blazers,96,0.396,0.419,0.355,10,36,21,4,9,8,2018-02-04
Celtics,97,0.412,0.417,0.333,9,42,24,3,6,11,2018-02-04
Celtics,91,0.398,0.435,0.652,9,29,21,3,3,17,2018-02-06
Raptors,111,0.5,0.472,0.389,5,35,29,10,4,15,2018-02-06
Celtics,110,0.464,0.346,0.885,7,38,16,9,6,18,2018-02-08
Wizards,104,0.4,0.462,0.615,17,35,28,11,4,20,2018-02-08
Pacers,97,0.446,0.25,0.9,13,40,18,6,5,13,2018-02-09
Celtics,91,0.382,0.259,0.593,12,26,16,5,8,10,2018-02-09
Cavaliers,121,0.536,0.533,0.5,5,36,22,7,6,11,2018-02-11
Celtics,99,0.404,0.263,0.447,13,30,22,3,4,14,2018-02-11
Clippers,129,0.5,0.379,1.034,7,36,26,5,5,7,2018-02-14
Celtics,119,0.433,0.484,0.645,11,35,24,4,7,8,2018-02-14
Celtics,110,0.482,0.436,0.282,10,32,30,8,5,11,2018-02-23
Pistons,98,0.435,0.303,0.424,12,33,16,4,4,13,2018-02-23
Celtics,121,0.452,0.394,0.727,11,34,21,11,5,11,2018-02-24
Knicks,112,0.469,0.222,0.593,13,36,20,10,4,14,2018-02-24
Grizzlies,98,0.436,0.217,1.087,5,35,27,4,2,10,2018-02-26
Celtics,109,0.453,0.324,0.514,9,35,25,5,5,8,2018-02-26
Hornets,106,0.462,0.333,0.481,9,24,24,6,6,7,2018-02-28
Celtics,134,0.621,0.6,0.7,4,43,31,3,4,10,2018-02-28
Celtics,120,0.484,0.542,0.792,10,28,22,6,3,13,2018-03-03
Rockets,123,0.448,0.388,0.531,10,30,24,11,5,10,2018-03-03
Celtics,105,0.488,0.333,0.306,12,41,25,7,4,18,2018-03-05
Bulls,89,0.395,0.364,0.394,7,29,18,14,1,13,2018-03-05
Celtics,117,0.494,0.344,0.625,9,37,28,7,2,11,2018-03-08
Timberwolves,109,0.468,0.387,0.29,13,34,24,3,3,12,2018-03-08
Pacers,99,0.481,0.545,0.409,6,33,26,9,7,18,2018-03-11
Celtics,97,0.42,0.324,0.459,10,32,26,10,5,16,2018-03-11
Wizards,125,0.474,0.375,0.656,13,39,29,10,6,19,2018-03-14
Celtics,124,0.485,0.462,0.615,10,34,30,9,5,17,2018-03-14
Celtics,92,0.378,0.346,0.808,16,39,16,7,6,18,2018-03-16
Magic,83,0.391,0.179,0.357,7,33,14,12,7,15,2018-03-16
Celtics,89,0.402,0.346,0.385,9,35,17,8,3,12,2018-03-18
Pelicans,108,0.5,0.333,1.111,5,39,33,9,5,10,2018-03-18
Thunder,99,0.412,0.37,0.704,8,36,19,6,6,13,2018-03-20
Celtics,100,0.414,0.361,0.417,11,41,22,6,5,17,2018-03-20
Celtics,105,0.455,0.611,1.333,9,36,22,5,4,13,2018-03-23
Trail Blazers,100,0.44,0.242,0.364,11,32,16,8,5,8,2018-03-23
Celtics,104,0.556,0.545,0.545,3,32,23,9,2,15,2018-03-25
Kings,93,0.463,0.269,0.385,7,27,18,7,1,14,2018-03-25
Celtics,102,0.425,0.483,0.483,10,34,24,10,3,12,2018-03-26
