team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Celtics,99,0.4091,0.25,0.5938,9,37,24,11,4,10,2017-10-17
Cavaliers,102,0.4578,0.2273,0.9545,9,41,19,3,4,17,2017-10-17
Bucks,108,0.5,0.3333,1.1905,6,39,19,6,4,15,2017-10-18
Celtics,100,0.4286,0.3929,0.3929,11,32,23,12,2,12,2017-10-18
Celtics,102,0.4167,0.3448,0.7586,14,41,16,4,5,19,2017-10-20
76ers,92,0.3804,0.3125,0.375,14,33,20,7,4,16,2017-10-20
Knicks,89,0.4235,0.0833,1.3333,11,32,20,8,2,14,2017-10-24
Celtics,110,0.4933,0.4828,0.7586,5,36,26,11,7,12,2017-10-24
Celtics,96,0.4231,0.3667,0.6333,6,39,21,7,4,15,2017-10-26
Bucks,89,0.4545,0.44,0.32,2,35,22,6,3,16,2017-10-26
Celtics,96,0.4198,0.2609,0.9565,11,30,15,11,5,12,2017-10-28
Heat,90,0.4304,0.2258,0.4839,6,34,17,6,9,19,2017-10-28
Spurs,94,0.4138,0.4615,0.3846,12,28,24,8,4,11,2017-10-30
Celtics,108,0.4773,0.3548,0.4194,15,39,24,10,6,13,2017-10-30
Kings,86,0.4321,0.3,0.5,7,19,24,10,5,15,2017-11-01
Celtics,113,0.4878,0.4146,0.3902,16,36,30,10,3,15,2017-11-01
Celtics,101,0.4286,0.4643,0.5714,11,38,23,6,2,10,2017-11-03
Thunder,94,0.4023,0.3714,0.3143,11,37,20,4,7,12,2017-11-03
Celtics,104,0.4382,0.3333,0.4545,9,45,26,10,1,13,2017-11-05
Magic,88,0.3626,0.2069,0.5517,10,35,18,4,4,13,2017-11-05
Celtics,110,0.4815,0.3889,0.5,7,35,28,3,3,13,2017-11-06
Hawks,107,0.4815,0.5,0.6154,5,31,24,8,4,14,2017-11-06
Lakers,96,0.4353,0.2083,0.7083,12,36,16,8,8,20,2017-11-08
Celtics,107,0.3878,0.2414,0.8276,16,32,20,8,6,13,2017-11-08
Hornets,87,0.3875,0.2727,0.8636,7,40,20,5,7,14,2017-11-10
Celtics,90,0.3571,0.2903,0.6774,9,40,15,6,5,13,2017-11-10
Raptors,94,0.4638,0.4167,0.8333,6,30,18,8,8,17,2017-11-12
Celtics,95,0.4023,0.3846,0.5769,15,31,24,9,2,14,2017-11-12
Celtics,109,0.4535,0.3333,0.8148,9,40,15,8,3,14,2017-11-14
Nets,102,0.4432,0.4,0.2857,9,34,26,4,3,14,2017-11-14
Warriors,88,0.4024,0.3125,0.375,7,40,22,9,10,15,2017-11-16
Celtics,92,0.3291,0.2188,1.0312,7,45,15,8,5,15,2017-11-16
Celtics,110,0.4756,0.4706,0.4706,9,32,21,9,6,15,2017-11-18
Hawks,99,0.4744,0.375,0.6667,6,29,24,7,1,13,2017-11-18
Celtics,110,0.4524,0.3611,0.5833,5,48,24,8,4,17,2017-11-20
Mavericks,102,0.4062,0.2121,0.5152,8,37,18,7,3,11,2017-11-20
Celtics,98,0.4167,0.3462,0.7308,7,30,19,11,4,11,2017-11-22
Heat,104,0.4938,0.3571,0.5,7,41,20,3,4,16,2017-11-22
Magic,103,0.4316,0.375,0.5,16,35,21,6,4,12,2017-11-24
Celtics,118,0.4615,0.4048,0.4048,13,33,27,6,10,8,2017-11-24
Celtics,108,0.5625,0.4,0.32,4,26,22,8,4,14,2017-11-25
Pacers,98,0.4872,0.3043,0.6522,10,26,20,9,2,18,2017-11-25
