fg,3pt,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,fg%,3pt%,ft%,team,home,date,game_id
48-94,9-18,12-15,14,36,50,6,13,18,0,0,117,80.0,50.0,50.0,Hawks,0,2017-10-18,400974705
38-86,17-45,18-21,9,32,41,4,15,19,1,0,111,85.7,37.8,37.8,Mavericks,1,2017-10-18,400974705
36-95,7-30,12-14,6,32,38,4,13,29,0,0,91,85.7,23.3,23.3,Hawks,0,2017-10-20,400974770
37-86,11-36,24-30,12,45,57,4,21,18,0,0,109,80.0,30.6,30.6,Hornets,1,2017-10-20,400974770
32-94,7-27,33-36,16,32,48,2,16,25,0,0,104,91.7,25.9,25.9,Hawks,0,2017-10-22,400974789
41-87,11-27,23-34,13,38,51,8,18,27,0,0,116,67.6,40.7,40.7,Nets,1,2017-10-22,400974789
36-76,7-17,14-18,6,35,41,1,20,17,1,1,93,77.8,41.2,41.2,Hawks,0,2017-10-23,400974793
39-85,14-37,12-18,10,31,41,6,19,19,0,0,104,66.7,37.8,37.8,Heat,1,2017-10-23,400974793
32-81,11-28,11-13,7,33,40,5,10,23,0,0,86,84.6,39.3,39.3,Hawks,0,2017-10-26,400974816
31-86,7-32,22-29,18,44,62,4,13,15,3,0,91,75.9,21.9,21.9,Bulls,1,2017-10-26,400974816
42-91,4-20,17-23,11,35,46,4,11,12,1,0,105,73.9,20.0,20.0,Nuggets,0,2017-10-27,400974823
37-89,14-33,12-12,11,32,43,4,12,21,0,0,100,100.0,42.4,42.4,Hawks,1,2017-10-27,400974823
44-81,13-26,16-21,5,38,43,3,14,27,0,0,117,76.2,50.0,50.0,Bucks,0,2017-10-29,400974836
36-77,13-29,21-26,3,28,31,2,16,21,0,0,106,80.8,44.8,44.8,Hawks,1,2017-10-29,400974836
41-94,8-23,19-27,12,37,49,4,18,28,0,0,109,70.4,34.8,34.8,Hawks,0,2017-11-01,400974858
46-99,13-35,14-25,15,38,53,4,16,26,0,0,119,56.0,37.1,37.1,76ers,1,2017-11-01,400974858
42-89,16-47,19-23,9,35,44,4,12,16,1,0,119,82.6,34.0,34.0,Rockets,0,2017-11-03,400974874
39-81,11-33,15-18,5,36,41,8,18,16,0,0,104,83.3,33.3,33.3,Hawks,1,2017-11-03,400974874
41-86,11-25,24-34,11,33,44,6,17,20,0,1,117,70.6,44.0,44.0,Hawks,0,2017-11-05,400974887
42-96,10-36,21-23,15,32,47,6,13,29,0,1,115,91.3,27.8,27.8,Cavaliers,1,2017-11-05,400974887
39-81,14-36,18-22,7,35,42,3,13,21,1,0,110,81.8,38.9,38.9,Celtics,0,2017-11-06,400974897
39-81,13-26,16-20,5,31,36,4,14,22,0,0,107,80.0,50.0,50.0,Hawks,1,2017-11-06,400974897
44-89,8-24,8-11,11,34,45,7,15,21,1,0,104,72.7,33.3,33.3,Hawks,0,2017-11-10,400974920
39-89,12-30,21-27,20,31,51,5,17,18,0,0,111,77.8,40.0,40.0,Pistons,1,2017-11-10,400974920
34-83,14-33,12-17,10,22,32,1,24,23,0,0,94,70.6,42.4,42.4,Hawks,0,2017-11-11,400974928
42-78,7-24,22-28,11,31,42,10,23,22,0,0,113,78.6,29.2,29.2,Wizards,1,2017-11-11,400974928
