team,fg,fg%,3pt,3pt%,ft,ft%,oreb,dreb,reb,ast,stl,blk,to,pf,pts,home,date,game_id
Hawks,41-90,45.6,10-36,27.8,15-18,83.3,7,38,45,19,7,3,24,30,107,0,2018-10-17,401070697
Knicks,45-99,45.5,12-33,36.4,24-31,77.4,10,36,46,21,12,6,15,23,126,1,2018-10-17,401070697
Hawks,41-83,49.4,14-30,46.7,21-36,58.3,11,29,40,27,9,5,19,31,117,0,2018-10-19,401070705
Grizzlies,44-81,54.3,13-26,50.0,30-43,69.8,7,34,41,32,9,4,16,29,131,1,2018-10-19,401070705
Hawks,48-98,49.0,22-47,46.8,15-19,78.9,9,35,44,32,9,7,12,21,133,0,2018-10-21,401070718
Cavaliers,46-99,46.5,10-27,37.0,9-14,64.3,15,34,49,23,5,2,18,25,111,1,2018-10-21,401070718
Mavericks,38-91,41.8,12-40,30.0,16-26,61.5,9,43,52,25,7,9,17,27,104,0,2018-10-24,401070733
Hawks,37-91,40.7,15-38,39.5,22-31,71.0,10,44,54,28,6,6,15,26,111,1,2018-10-24,401070733
Bulls,36-83,43.4,12-33,36.4,13-16,81.3,8,44,52,25,14,6,20,21,97,0,2018-10-27,401070757
Hawks,27-84,32.1,12-40,30.0,19-23,82.6,11,37,48,20,9,8,22,13,85,1,2018-10-27,401070757
Hawks,35-94,37.2,8-37,21.6,14-21,66.7,10,37,47,20,10,3,13,18,92,0,2018-10-29,401070769
76ers,41-99,41.4,14-47,29.8,17-18,94.4,16,48,64,33,7,9,19,22,113,1,2018-10-29,401070769
Hawks,44-82,53.7,15-35,42.9,11-17,64.7,6,33,39,25,6,8,22,29,114,0,2018-10-30,401070778
Cavaliers,45-90,50.0,13-25,52.0,33-43,76.7,13,35,48,23,13,1,13,20,136,1,2018-10-30,401070778
Kings,53-98,54.1,14-35,40.0,26-32,81.3,10,36,46,38,14,3,14,29,146,0,2018-11-01,401070795
Hawks,42-87,48.3,8-31,25.8,23-34,67.6,10,33,43,26,6,6,22,28,115,1,2018-11-01,401070795
Heat,41-85,48.2,16-40,40.0,20-26,76.9,13,28,41,27,6,6,17,20,118,0,2018-11-03,401070809
Hawks,46-88,52.3,13-32,40.6,18-23,78.3,8,29,37,33,11,7,16,21,123,1,2018-11-03,401070809
Hawks,41-85,48.2,6-30,20.0,14-18,77.8,7,30,37,22,13,9,22,18,102,0,2018-11-06,401070830
Hornets,45-92,48.9,13-31,41.9,10-18,55.6,8,35,43,27,9,4,21,16,113,1,2018-11-06,401070830
Knicks,34-77,44.2,11-30,36.7,33-47,70.2,11,37,48,15,8,7,16,30,112,0,2018-11-07,401070836
Hawks,37-92,40.2,11-38,28.9,22-29,75.9,15,30,45,26,5,9,17,30,107,1,2018-11-07,401070836
Pistons,46-97,47.4,20-47,42.6,12-19,63.2,10,34,44,30,10,6,10,31,124,0,2018-11-09,401070850
Hawks,36-79,45.6,7-28,25.0,30-40,75.0,9,44,53,17,6,2,16,21,109,1,2018-11-09,401070850
Hawks,41-95,43.2,13-37,35.1,11-13,84.6,10,34,44,25,11,4,17,23,106,0,2018-11-11,401070870
Lakers,39-92,42.4,14-38,36.8,15-24,62.5,17,31,48,28,12,9,22,23,107,1,2018-11-11,401070870
Hawks,40-89,44.9,12-32,37.5,11-15,73.3,10,32,42,25,9,2,14,18,103,0,2018-11-13,401070882
Warriors,39-91,42.9,12-27,44.4,20-21,95.2,13,35,48,28,8,6,13,20,110,1,2018-11-13,401070882
Hawks,32-92,34.8,9-42,21.4,20-27,74.1,15,28,43,20,7,5,19,22,93,0,2018-11-15,401070895
Nuggets,53-94,56.4,13-31,41.9,19-25,76.0,11,45,56,34,12,6,15,24,138,1,2018-11-15,401070895
Hawks,31-87,35.6,8-29,27.6,19-27,70.4,5,36,41,20,15,6,18,24,89,0,2018-11-17,401070907
Pacers,35-87,40.2,12-30,40.0,15-21,71.4,10,43,53,25,11,6,22,26,97,1,2018-11-17,401070907
Hawks,41-90,45.6,10-36,27.8,15-18,83.3,7,38,45,19,7,3,24,30,107,0,2018-10-17,401070697
Knicks,45-99,45.5,12-33,36.4,24-31,77.4,10,36,46,21,12,6,15,23,126,1,2018-10-17,401070697
Hawks,41-83,49.4,14-30,46.7,21-36,58.3,11,29,40,27,9,5,19,31,117,0,2018-10-19,401070705
Grizzlies,44-81,54.3,13-26,50.0,30-43,69.8,7,34,41,32,9,4,16,29,131,1,2018-10-19,401070705
Hawks,48-98,49.0,22-47,46.8,15-19,78.9,9,35,44,32,9,7,12,21,133,0,2018-10-21,401070718
Cavaliers,46-99,46.5,10-27,37.0,9-14,64.3,15,34,49,23,5,2,18,25,111,1,2018-10-21,401070718
Mavericks,38-91,41.8,12-40,30.0,16-26,61.5,9,43,52,25,7,9,17,27,104,0,2018-10-24,401070733
