pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome
103.25,0.4785,0.332,0.4557499999999999,9.5,34.5,20.75,8.25,6.0,21.75,109.0,0.5245,0.272,1.016,8.5,37.5,19.5,5.0,6.5,14.5,1
90.5,0.37225,0.2935,0.73675,8.5,36.25,18.0,8.75,6.5,15.75,121.0,0.52875,0.478,0.38275,9.25,34.5,32.5,7.75,8.0,15.25,1
102.5,0.4315,0.34600000000000003,0.48100000000000004,11.5,33.0,19.5,10.5,7.5,10.0,116.0,0.4710833333333334,0.35200000000000004,0.5308333333333333,7.583333333333332,34.66666666666667,21.416666666666664,9.666666666666668,3.8333333333333335,12.666666666666668,0
109.5,0.46025,0.27375,0.5722499999999999,10.25,37.5,25.5,7.25,9.75,14.75,104.25,0.43325,0.359,0.59075,9.25,36.0,21.25,10.25,5.5,14.25,1
101.75,0.3905000000000001,0.2885,0.7809999999999999,14.0,29.0,16.0,7.25,4.75,14.0,100.75,0.4243333333333333,0.3543333333333333,0.5971666666666666,8.25,34.41666666666667,20.25,11.666666666666668,5.166666666666666,14.166666666666668,1
98.16666666666666,0.4543333333333334,0.35075,0.5200833333333333,7.916666666666668,38.16666666666667,18.25,8.333333333333334,6.333333333333334,19.5,113.66666666666666,0.4671666666666667,0.3493333333333333,0.4935,7.833333333333332,34.0,21.166666666666664,10.0,4.5,12.0,0
97.375,0.44975,0.364125,0.475875,8.75,36.5,18.625,7.75,5.875,18.875,108.5,0.4605,0.3715000000000001,0.938,9.5,27.0,23.5,10.0,6.0,18.0,0
110.33333333333334,0.459,0.39116666666666666,0.7655000000000001,12.166666666666668,28.16666666666667,19.833333333333336,10.333333333333334,2.166666666666667,11.5,118.16666666666666,0.5188333333333334,0.44666666666666666,0.4023333333333333,9.833333333333332,33.333333333333336,32.333333333333336,8.333333333333334,7.833333333333334,15.833333333333336,0
95.5,0.402125,0.29425,0.430625,10.125,34.875,20.75,9.625,4.125,12.75,126.0,0.48225,0.385,0.9279999999999999,12.5,33.75,23.25,9.75,4.5,19.0,1
103.5,0.4886666666666667,0.26816666666666666,0.9765,10.333333333333332,34.66666666666667,18.166666666666664,6.666666666666668,6.333333333333332,14.833333333333332,96.1,0.4437,0.37485,0.4714499999999999,8.95,35.9,18.05,7.4,5.6,18.9,0
101.0,0.441875,0.346125,0.7105,11.125,38.375,24.625,7.0,8.0,14.0,115.25,0.479,0.377,0.60425,14.75,34.5,22.75,9.25,4.25,12.0,0
113.375,0.4737083333333334,0.35475,0.5178333333333334,7.583333333333332,33.66666666666667,20.541666666666664,9.916666666666668,4.708333333333334,11.666666666666668,96.5,0.4555,0.3865,0.525,10.5,33.0,18.5,5.5,6.0,21.0,1
123.5,0.46675,0.3635,0.9005000000000001,13.25,34.5,23.0,10.0,5.0,17.75,102.0,0.453,0.28,0.6439999999999999,8.5,36.5,20.5,6.5,5.5,14.5,1
103.375,0.4435,0.35050000000000003,0.6355,9.75,29.25,20.75,11.375,1.75,12.0,99.25,0.42775,0.341875,0.6145,7.75,34.875,20.0,11.375,5.75,15.25,0
109.5,0.47100000000000003,0.268,0.6455,9.625,41.25,24.875,8.25,10.5,16.0,106.25,0.443125,0.3365,0.7278749999999999,8.625,33.625,21.75,8.875,4.125,12.5,1
98.0,0.4595,0.31775,0.5665,10.25,31.5,19.75,6.75,5.0,17.25,119.25,0.52525,0.470375,0.385125,9.625,35.0,32.0,8.375,7.375,16.875,1
105.5,0.40925,0.32025000000000003,0.4325000000000001,15.25,32.0,21.0,9.25,10.25,10.75,100.25,0.453375,0.298875,0.92325,9.5,33.25,19.25,6.75,4.75,13.5,1
100.5,0.43833333333333335,0.3426666666666667,1.030333333333333,9.666666666666668,28.333333333333336,20.166666666666664,8.833333333333334,5.666666666666668,18.33333333333333,98.93333333333334,0.4493666666666667,0.37726666666666653,0.5478666666666666,9.366666666666667,35.73333333333333,19.966666666666672,6.566666666666666,5.7666666666666675,17.9,0
115.125,0.477125,0.36825,0.5309999999999999,7.75,34.0,21.125,9.125,5.0,11.5,113.25,0.49575,0.3335,1.02,8.25,36.0,24.0,5.75,4.0,14.0,1
103.45,0.45915,0.3174,0.91985,9.4,33.35,20.25,6.8,4.75,13.35,102.75,0.43700000000000006,0.36775,0.62625,9.75,36.5,22.25,9.5,4.5,13.25,0
98.66666666666666,0.4536666666666666,0.18766666666666668,0.9795,10.0,34.33333333333333,21.833333333333336,7.5,3.5,14.166666666666668,122.0,0.4575,0.3634999999999999,0.8066666666666666,12.583333333333332,33.25,22.583333333333336,9.75,4.333333333333334,16.75,1
98.75,0.4283333333333333,0.3426666666666667,0.8328333333333333,8.666666666666668,31.083333333333336,19.916666666666664,7.333333333333334,4.666666666666667,15.583333333333332,101.83333333333334,0.4103333333333333,0.3080833333333333,0.7345833333333334,13.333333333333332,32.08333333333333,17.5,8.583333333333334,5.5,15.416666666666664,0
101.16666666666666,0.4201666666666667,0.3331666666666667,0.4206666666666667,11.0,36.16666666666666,22.33333333333333,9.333333333333332,3.333333333333333,14.166666666666664,110.5,0.4235,0.3385,0.5965,12.0,32.5,21.75,9.0,8.5,11.0,0
118.8,0.5241,0.4589,0.3776,9.9,34.7,32.1,8.5,7.7,16.3,112.25,0.466,0.3435,0.62075,15.0,36.25,23.0,10.25,4.75,14.25,0
98.475,0.445575,0.3621,0.5283249999999999,9.575,36.4,20.05,6.4,5.85,17.4,102.0,0.43866666666666665,0.3793333333333333,0.619,8.833333333333332,36.5,22.416666666666664,9.416666666666666,4.416666666666666,13.333333333333332,0
100.75,0.4435,0.34124999999999994,0.47375,10.0,33.0,20.75,9.75,6.0,11.5,104.33333333333334,0.4280000000000001,0.31833333333333336,0.7948333333333333,12.5,32.666666666666664,18.166666666666664,7.833333333333334,5.5,14.666666666666664,1
113.91666666666666,0.4685,0.3485,0.6637500000000001,14.416666666666668,35.66666666666667,21.916666666666664,10.75,4.75,14.0,109.25,0.4875,0.32,0.8170000000000002,9.5,35.5,21.25,5.5,3.75,12.75,1
113.5,0.4955,0.3785,0.98275,7.75,32.5,24.75,10.25,5.25,13.0,113.275,0.468075,0.35934999999999995,0.5242,8.35,33.9,20.875,8.55,5.375,11.4,0
97.375,0.4432083333333333,0.35200000000000004,0.5212916666666666,9.208333333333332,36.33333333333333,19.833333333333336,6.416666666666666,6.166666666666666,17.583333333333336,100.7,0.4530666666666666,0.34040000000000004,0.8316000000000001,8.4,33.43333333333334,20.333333333333336,6.966666666666668,4.166666666666666,14.1,1
112.1,0.4761,0.2834,0.6443,9.6,41.6,26.1,8.0,10.1,15.5,103.25,0.46125,0.2825,0.68225,8.75,38.0,20.25,5.25,5.5,16.75,0
114.8,0.47,0.3707,0.5179,8.7,33.4,21.4,7.8,5.3,10.9,113.5,0.48,0.35175,0.99825,9.0,31.5,23.5,9.0,4.5,11.75,1
106.45,0.4410000000000001,0.33425000000000005,0.74275,8.5,34.35,21.4,8.85,4.3,12.05,99.5,0.4619,0.2105,0.9553,10.7,33.5,21.9,7.3,3.6,14.0,1
100.5,0.4393,0.3488,0.7153,10.8,38.5,24.3,7.6,7.4,14.7,103.66666666666666,0.4605,0.3813333333333333,0.4656666666666667,9.333333333333332,32.66666666666667,21.166666666666664,9.833333333333332,5.333333333333334,10.833333333333332,1
115.33333333333334,0.4495,0.36516666666666653,0.738,11.333333333333332,32.66666666666667,22.0,9.333333333333334,4.0,16.5,103.0,0.45425,0.3235,0.62975,11.0,32.5,22.5,6.25,3.5,16.75,0
107.86666666666667,0.4618333333333334,0.3676666666666667,0.6655,8.0,31.43333333333333,23.566666666666666,9.933333333333334,4.633333333333334,12.133333333333333,99.33333333333334,0.4525833333333333,0.3376666666666667,0.8115833333333333,7.666666666666668,33.666666666666664,20.25,7.0,4.666666666666666,14.25,0
