home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Warriors,Thunder,108,0.4421,0.2692,0.6538,17,41,28,7,7,21,100,0.3626,0.2703,0.6486,16,29,21,12,6,14,1,2018-10-16
Celtics,76ers,105,0.433,0.2973,0.2703,12,43,21,7,5,14,87,0.3908,0.1923,0.5385,6,41,18,8,5,16,1,2018-10-16
Rockets,Pelicans,112,0.4239,0.3333,0.375,8,29,21,8,7,11,131,0.5306,0.4,0.68,14,40,36,8,3,12,0,2018-10-17
Pacers,Grizzlies,111,0.5663,0.3846,0.2692,13,44,29,2,7,20,83,0.2976,0.3448,0.7931,7,21,16,11,3,7,1,2018-10-17
Clippers,Nuggets,98,0.3977,0.2857,0.7143,9,38,21,3,9,12,107,0.3793,0.3333,1.375,14,42,20,6,9,10,0,2018-10-17
Suns,Mavericks,121,0.5432,0.5588,0.4118,6,38,35,5,2,11,100,0.4318,0.303,0.4242,10,28,28,7,5,9,1,2018-10-17
Raptors,Cavaliers,116,0.4891,0.4242,0.3636,8,35,21,6,7,9,104,0.4,0.3684,1.5263,14,35,17,4,0,16,1,2018-10-17
Magic,Heat,104,0.4149,0.28,0.76,14,37,20,7,7,12,101,0.3918,0.2727,0.4848,14,38,16,4,5,16,1,2018-10-17
Spurs,Timberwolves,112,0.4301,0.44,0.84,19,33,22,3,4,12,108,0.4286,0.3158,1.2632,14,32,20,9,2,11,1,2018-10-17
Hornets,Bucks,112,0.4457,0.4211,0.3684,9,32,21,8,9,11,113,0.4941,0.4118,0.4412,11,46,26,5,4,21,0,2018-10-17
Pistons,Nets,103,0.4239,0.25,0.7917,14,32,21,5,5,14,100,0.4878,0.1852,0.5556,5,34,28,9,5,17,1,2018-10-17
Kings,Jazz,117,0.5158,0.3684,0.6316,5,32,17,8,3,9,123,0.519,0.4815,1.037,5,39,21,8,4,17,0,2018-10-17
Knicks,Hawks,126,0.4545,0.3636,0.7273,10,36,21,12,6,15,107,0.4556,0.2778,0.4167,7,38,19,7,3,24,1,2018-10-17
76ers,Bulls,127,0.4731,0.3333,0.75,11,44,30,10,8,13,108,0.4356,0.3333,0.2727,5,34,28,4,6,12,1,2018-10-18
Wizards,Heat,112,0.4691,0.2692,1.1154,7,33,19,7,15,14,113,0.3918,0.3429,0.7143,22,33,25,6,5,16,0,2018-10-18
Trail Blazers,Lakers,128,0.44,0.3514,0.7297,14,40,21,9,10,16,119,0.4839,0.2333,0.7333,8,38,23,10,6,15,1,2018-10-18
Jazz,Warriors,123,0.4494,0.413,0.5217,10,28,24,11,4,16,124,0.5632,0.5263,0.8421,8,35,27,10,6,16,0,2018-10-19
Nets,Knicks,107,0.4933,0.4,0.7,12,43,22,2,6,22,105,0.4021,0.3214,0.6429,12,24,14,10,1,3,1,2018-10-19
Magic,Hornets,88,0.38299999999999995,0.1935,0.3226,12,32,18,8,7,15,120,0.4674,0.4474,0.4474,12,43,32,6,4,15,0,2018-10-19
Pelicans,Kings,149,0.5895,0.5161,0.6774,12,40,35,6,4,16,129,0.5208,0.4,0.76,9,30,24,6,2,13,1,2018-10-19
Grizzlies,Hawks,131,0.5432,0.5,1.1538,7,34,32,9,4,16,117,0.494,0.4667,0.7,11,29,27,9,5,19,1,2018-10-19
Timberwolves,Cavaliers,131,0.5057,0.4,1.32,9,31,28,9,7,13,123,0.4839,0.3478,1.087,13,30,26,5,2,14,1,2018-10-19
Bucks,Pacers,118,0.4731,0.3696,0.2826,11,39,27,9,8,17,101,0.4368,0.3333,1.0556,9,32,14,7,3,17,1,2018-10-19
Raptors,Celtics,113,0.4674,0.3714,0.4,12,37,24,3,3,12,101,0.40399999999999997,0.3889,0.1944,16,33,29,4,6,14,1,2018-10-19
Clippers,Thunder,108,0.4321,0.4231,1.0385,10,38,21,3,3,14,92,0.3579,0.2121,0.5152,15,37,18,5,4,12,1,2018-10-19
Knicks,Celtics,101,0.4138,0.3429,0.4857,11,35,23,8,1,16,103,0.4024,0.36,1.12,11,36,21,8,2,15,0,2018-10-20
