home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Cavaliers,Celtics,102,0.4578,0.2273,0.9545,9,41,19,3,4,17,99,0.4091,0.25,0.5938,9,37,24,11,4,10,1,2017-10-17
Bucks,Magic,110,0.5488,0.2105,0.8421,11,36,20,4,9,14,103,0.4333,0.2759,0.5862,8,26,26,6,4,8,1,2017-10-17
Rockets,Warriors,116,0.4713,0.3784,0.5405,12,34,19,14,3,15,108,0.4878,0.4722,0.3056,4,29,31,8,10,19,1,2017-10-17
Heat,Timberwolves,122,0.5269,0.2593,0.6296,15,35,17,8,5,24,125,0.4505,0.4783,1.3913,10,30,20,16,4,16,0,2017-10-18
Kings,Hornets,111,0.5172,0.4118,0.8235,16,31,22,1,2,15,131,0.573,0.4688,0.4375,5,25,25,7,3,3,0,2017-10-18
Lakers,76ers,109,0.3853,0.1111,0.8148,22,35,18,7,6,9,115,0.4884,0.2188,0.75,8,44,27,7,15,16,0,2017-10-18
Rockets,Bulls,118,0.4409,0.3158,0.3158,9,37,28,15,6,10,86,0.382,0.2162,0.2703,13,38,17,8,1,18,1,2017-10-18
Pelicans,Rockets,115,0.5366,0.4074,0.5926,6,36,36,8,5,15,113,0.4615,0.3333,0.8056,2,33,22,10,2,12,1,2017-10-18
Pelicans,Jazz,99,0.4409,0.2857,0.5238,10,28,28,7,14,13,116,0.4167,0.375,0.75,17,38,24,4,3,15,0,2017-10-18
Celtics,Bucks,100,0.4286,0.3929,0.3929,11,32,23,12,2,12,108,0.5,0.3333,1.1905,6,39,19,6,4,15,0,2017-10-18
Pacers,Nets,140,0.5196,0.2647,0.7353,14,33,29,12,9,14,131,0.4787,0.4,0.9667,11,32,22,7,2,20,1,2017-10-18
Clippers,Cavaliers,116,0.4831,0.3929,0.6786,13,39,25,6,3,13,102,0.4483,0.3333,0.3333,8,32,22,10,7,12,1,2017-10-19
Knicks,Rockets,97,0.4333,0.3077,0.4231,6,36,23,8,1,19,119,0.4773,0.3654,0.3077,9,37,21,6,4,14,0,2017-10-19
